Team,R,RA,wR,wRA
South Carolina,5.7408,3.9798,0.904329825,0.602790903
South Carolina Upstate,8.04308,5.68555,1.267000615,0.861148254
South Dakota State,4.88976,8.71178,0.770268222,1.319508954
South Florida,6.83475,4.5838,1.076656263,0.694274321
Southeast Missouri,7.2058,4.69872,1.13510658,0.711680404
Southeastern Louisiana,7.36909,5.3706,1.160829131,0.813445104
Southern,5.74314,9.2552,0.904698438,1.401816766
Southern Illinois,4.61757,6.84969,0.727391003,1.037471939
Southern Indiana,5.7891,6.8922,0.91193837,1.043910614
Southern Miss,7.73652,3.34752,1.218709201,0.507024123
Stanford,7.30702,5.72832,1.151051442,0.867626309
Stephen F. Austin,5.25271,6.75297,0.827442572,1.022822475
Stetson,5.3568,5.7401,0.843839536,0.869410539
Stonehill,5.28082,9.072,0.83187065,1.374068816
Stony Brook,6.12379,6.41079,0.964661013,0.970994998
Tarleton State,7.68096,5.37044,1.209957012,0.81342087
TCU,7.72455,4.47425,1.216823605,0.677681592
Tennessee,8.57448,3.7105,1.350710354,0.562002022
Tennessee Tech,6.09966,8.2008,0.960859891,1.242114588
Tennessee-Martin,6.3453,9.1799,0.999554773,1.390411632
Texas,10.03968,3.18296,1.581518614,0.482099435
Texas A&M,10.73518,3.92472,1.6910785,0.594448343
Texas A&M-Corpus Christi,5.29587,6.62574,0.834241428,1.003551887
Texas Southern,5.43928,8.46354,0.856832346,1.281909875
Texas State,7.94486,4.70736,1.251528333,0.712989041
Texas Tech,9.27682,7.00526,1.461347723,1.061034977
The Citadel,7.36515,4.31946,1.160208475,0.654236694
Toledo,7.01008,5.6243,1.104275436,0.851871169
Towson,5.67052,8.46307,0.893258842,1.281838688
Troy,8.62437,4.38163,1.358569366,0.663653125
Tulane,6.38304,5.49692,1.005499834,0.832577861
UAB,8.62575,6.02833,1.358786753,0.913066608
UC Davis,4.82688,4.91522,0.760362937,0.74447206
UC Irvine,5.7699,4.92765,0.908913855,0.74635474
UC Riverside,4.2192,7.9632,0.664637054,1.206127072
UC San Diego,7.03424,5.50374,1.108081283,0.833610836
UC Santa Barbara,6.8355,3.322,1.076774408,0.503158797
