Team,AdjO,AdjD,AdjT,Orank,Drank,Trank,HomeAdv
Indiana,120.6,103.3,66.1,1.103121772,0.94496508,0.981376188,4.42
Indiana St.,106.1,109.3,68.1,0.970491045,0.999851726,1.01106987,4.86
Iona,104.1,111.7,68.8,0.952197152,1.021806384,1.021462659,2.55
Iowa,123.7,100.3,62.4,1.131477307,0.917521757,0.926442876,5.16
Iowa St.,123.6,91.5,67.1,1.130562613,0.837021344,0.996223029,5.32
IU Indy,105.6,119.4,73.2,0.965917572,1.092244246,1.086788759,2.1
Jackson St.,100.2,118.9,69.5,0.91652406,1.087670358,1.031855447,2.1
Jacksonville,103.1,114.6,63.4,0.943050205,1.048334929,0.941289717,4.04
Jacksonville St.,105.3,108.5,65.4,0.963173488,0.992533506,0.970983399,2.82
James Madison,109.2,113.2,66,0.99884658,1.035528045,0.979891504,3
Kansas,117.7,93.5,67.8,1.076595627,0.855316892,1.006615818,5.18
Kansas City,92,117.4,69.8,0.841519097,1.073948697,1.0363095,2.1
Kansas St.,113.4,106.5,72.6,1.037263756,0.974237958,1.077880654,5.72
Kennesaw St.,110.7,109.5,71.1,1.012567,1.00168128,1.055610393,3.65
Kent St.,111.1,110.5,70.3,1.016225779,1.010829055,1.04373292,3.76
Kentucky,120.4,99.3,68.3,1.101292383,0.908373983,1.014039238,3.43
La Salle,105.9,111.5,65.8,0.968661656,1.019976829,0.976922136,3.34
Lafayette,100.7,116.1,66.8,0.921097533,1.062056591,0.991768977,4.13
Lamar,103.2,109.5,65.6,0.9439649,1.00168128,0.973952767,3.67
Le Moyne,102.1,113.9,69.5,0.933903258,1.041931487,1.031855447,2.1
Lehigh,102,113.1,66.7,0.932988564,1.034613268,0.990284293,3.42
Liberty,117.9,113.2,64.1,1.078425016,1.035528045,0.951682506,2.75
Lindenwood,100.5,109.1,72.4,0.919268144,0.998022171,1.074911286,2.1
Lipscomb,106.9,109.8,69.4,0.977808603,1.004425613,1.030370763,3.35
Little Rock,102.8,115.8,66.7,0.940306121,1.059312258,0.990284293,2.1
LIU,105.7,109.7,67.8,0.966832267,1.003510835,1.006615818,2.1
Long Beach St.,105.6,111.5,68.5,0.965917572,1.019976829,1.017008606,3.57
Longwood,103.6,112.6,68.5,0.947623679,1.030039381,1.017008606,2.1
Louisiana,100.2,113.5,63.3,0.91652406,1.038272377,0.939805033,4.63
Louisiana Monroe,101.3,122.4,70.2,0.926585701,1.119687568,1.042248236,2.97
Louisiana Tech,103.1,105.8,64.3,0.943050205,0.967834516,0.954651874,5.32
Louisville,123.4,98.9,69.7,1.128733223,0.904714873,1.034824815,3.64
Loyola Chicago,103.6,113.5,65.5,0.947623679,1.038272377,0.972468083,2.62
Loyola Marymount,106.5,105.9,67,0.974149824,0.968749293,0.994738345,2.49
Loyola MD,104.2,119.2,68.2,0.953111847,1.090414691,1.012554554,1.68
LSU,119.9,106.7,66.7,1.09671891,0.976067513,0.990284293,4.14
Maine,91.7,112,64.7,0.838775013,1.024550716,0.960590611,1.48
Manhattan,104.6,120.8,67.9,0.956770625,1.10505113,1.008100502,2.31
Marist,99.8,102.7,66.4,0.912865281,0.939476416,0.98583024,4.48
Marquette,112.1,102.1,68.9,1.025372726,0.933987751,1.022947343,4.68
Marshall,112.1,115.3,69.3,1.025372726,1.054738371,1.028886079,4.89
Maryland,111.3,106.8,66.2,1.018055168,0.97698229,0.982860872,4.9
Maryland Eastern Shore,94.7,115.4,63.1,0.866215853,1.055653149,0.936835665,2.1
Massachusetts,108.7,111.5,70,0.994273107,1.019976829,1.039278868,3.68
McNeese,114.5,102,66.1,1.047325398,0.933072974,0.981376188,2.1
Memphis,107.5,104.6,70.2,0.983296771,0.956857187,1.042248236,4.85
Mercer,111.9,113.8,68.9,1.023543336,1.04101671,1.022947343,4.36
Mercyhurst,101.3,112,64.8,0.926585701,1.024550716,0.962075295,2.1
Merrimack,106.7,107.3,63.5,0.975979213,0.981556177,0.942774401,2.1
Miami FL,121,100.4,67.7,1.106780551,0.918436535,1.005131133,4.06
Miami OH,117.1,108.5,69.7,1.071107459,0.992533506,1.034824815,3.04
Michigan,128.2,89.3,70.9,1.172638567,0.816896241,1.052641025,3.93
Michigan St.,123.1,94.3,66.3,1.125989139,0.862635112,0.984345556,4.37
Middle Tennessee,109.3,109.8,65.8,0.999761275,1.004425613,0.976922136,2.1
Milwaukee,106.6,115.4,67.4,0.975064519,1.055653149,1.000677081,2.1
Minnesota,113.6,103.5,62.4,1.039093146,0.946794635,0.926442876,4.78
Mississippi,114.2,101.5,66.4,1.044581314,0.928499086,0.98583024,4.43
