Name,k_percent,bb_percent,xba,xslg,xobp,single%,double%,triple%,home_run%,PA/G,Hand
Nick Pivetta,27.701863354037272,6.956521739130435,0.228,0.424,0.2521739130434783,0.11801242236024845,0.02857142857142857,0.002484472049689441,0.02981366459627329,16.5,R
Nick Sandlin,23.18840579710145,11.594202898550725,0.0,0.0,0.30434782608695654,0.10144927536231885,0.028985507246376812,0.0,0.028985507246376812,3.6315789473684212,R
Noah Cameron,20.947630922693268,7.647547797173733,0.2455378221113882,0.40777306733167085,0.2884455527847049,0.1313383208645054,0.04239401496259352,0.004156275976724855,0.02826267664172901,23.962962962962962,L
Noah Murdock,21.428571428571427,20.408163265306122,0.0,0.0,0.4897959183673469,0.1836734693877551,0.08163265306122448,0.0,0.0,7.0,R
Noah Schultz,20.274914089347078,10.652920962199312,0.273,0.454,0.3470790378006873,0.13402061855670103,0.041237113402061855,0.006872852233676976,0.030927835051546393,19.4,L
Nolan McLean,27.52403846153846,9.254807692307692,0.21500000000000002,0.334,0.29086538461538464,0.12259615384615384,0.03245192307692308,0.0,0.02283653846153846,23.85185185185185,R
Orion Kerkering,24.177949709864603,11.02514506769826,0.21472222222222223,0.32655555555555554,0.31721470019342357,0.12379110251450676,0.04061895551257253,0.005802707930367505,0.017408123791102514,4.103448275862069,R
Orlando Ribalta,22.483221476510067,11.74496644295302,0.209,0.38199999999999995,0.3288590604026846,0.13758389261744966,0.03355704697986577,0.0,0.03691275167785235,3.9555555555555557,R
Osvaldo Bido,17.792792792792792,10.135135135135135,0.253,0.48700000000000004,0.36711711711711714,0.14864864864864866,0.04279279279279279,0.0022522522522522522,0.04954954954954955,7.363636363636363,R
PJ Poulin,19.771863117870723,12.927756653992395,0.0,0.0,0.33079847908745247,0.13307984790874525,0.034220532319391636,0.0,0.022813688212927757,4.371428571428571,
Pablo López,23.397435897435898,6.41025641025641,0.0,0.0,0.28205128205128205,0.14102564102564102,0.041666666666666664,0.003205128205128205,0.019230769230769232,22.285714285714285,R
Parker Messick,24.81296758104738,6.109725685785536,0.21799999999999997,0.325,0.2718204488778055,0.1396508728179551,0.04114713216957606,0.004987531172069825,0.022443890274314215,23.59259259259259,L
Patrick Corbin,18.963831867057674,7.429130009775171,0.2753900293255132,0.44744574780058655,0.3362658846529814,0.1681329423264907,0.05083088954056696,0.0019550342130987292,0.03225806451612903,18.94736842105263,L
Patrick Sandoval,22.026431718061673,11.013215859030836,0.277,0.444,0.3788546255506608,0.1894273127753304,0.048458149779735685,0.0,0.02643171806167401,22.7,R
Paul Blackburn,20.081967213114755,8.19672131147541,0.22999999999999998,0.344,0.3012295081967213,0.14549180327868852,0.03483606557377049,0.00819672131147541,0.02663934426229508,5.611111111111111,R
Paul Sewald,25.461254612546124,6.642066420664206,0.22299999999999998,0.475,0.28044280442804426,0.1070110701107011,0.02952029520295203,0.007380073800738007,0.05904059040590406,3.6538461538461537,R
Paul Skenes,29.215976331360945,6.3609467455621305,0.20840976331360944,0.33198816568047335,0.27071005917159763,0.1235207100591716,0.05029585798816568,0.0029585798816568047,0.019230769230769232,22.107142857142858,R
