Team,SOS,oRating,dRating,Yds/Play,Last 3,wYds/Play,D Yds/Play,Last 3,wD Yds/Play,Yds/Point,Last 3,wYds/Point,D Yds/Point,Last 3,wD Yds/Point,PlaysGame,dPlaysGame,HomeAdv
Nevada,0.8,0.793,0.844,5.9,5.9,5.917,4.9,4.9,4.88,14.6,14.6,14.638,17.0,17.0,16.959,62.7,70.7,2.2
New Mexico,0.7,1.86,0.395,5.0,5.0,5.031,3.7,3.7,3.693,8.6,8.6,8.649,21.2,21.2,21.232,65.3,53.7,1.6
New Mexico St,0.9,1.038,0.962,6.2,6.2,6.248,5.4,5.4,5.423,14.1,14.1,14.148,13.8,13.8,13.803,65.7,65.3,3.0
North Carolina,1.0,1.08,0.495,6.3,6.3,6.255,4.6,4.6,4.613,16.0,16.0,15.994,23.0,23.0,22.953,59.7,68.0,1.8
Northwestern,1.2,1.46,0.587,6.8,6.8,6.844,5.8,5.8,5.788,12.9,12.9,12.92,23.5,23.5,23.472,61.7,73.0,2.1
Notre Dame,0.9,1.624,0.29,6.3,6.3,6.329,3.7,3.7,3.716,10.2,10.2,10.179,24.6,24.6,24.561,64.3,50.7,3.3
Ohio,1.3,1.196,1.221,5.1,5.1,5.064,6.6,6.6,6.606,11.2,11.2,11.187,12.2,12.2,12.196,63.3,72.0,3.4
Ohio St,0.9,1.541,0.394,7.7,7.7,7.736,3.2,3.2,3.165,11.3,11.3,11.268,20.4,20.4,20.359,67.0,64.3,2.9
Oklahoma,1.1,1.056,0.27,5.6,5.6,5.577,3.8,3.8,3.772,13.2,13.2,13.235,28.0,28.0,28.044,59.3,57.0,3.4
Oklahoma St,1.4,1.68,0.547,6.7,6.7,6.674,4.9,4.9,4.858,15.0,15.0,14.955,14.3,14.3,14.309,80.7,54.0,2.5
Old Dominion,1.3,0.901,0.8,5.3,5.3,5.348,4.2,4.2,4.188,13.3,13.3,13.253,12.1,12.1,12.11,57.0,71.3,1.5
Oregon,1.3,2.005,0.704,6.8,6.8,6.792,4.6,4.6,4.558,9.8,9.8,9.846,12.8,12.8,12.776,72.0,61.7,2.5
Oregon St,1.4,1.38,0.858,6.6,6.6,6.552,5.6,5.6,5.618,14.5,14.5,14.468,14.4,14.4,14.408,70.7,72.7,3.0
Penn St,0.8,1.439,0.298,7.4,7.4,7.379,3.5,3.5,3.538,11.6,11.6,11.62,27.7,27.7,27.66,66.7,57.3,3.3
Pittsburgh,1.3,1.318,0.366,6.4,6.4,6.374,4.6,4.6,4.609,13.5,13.5,13.463,24.5,24.5,24.536,69.0,60.3,2.3
Purdue,1.3,1.47,1.132,7.0,7.0,6.963,6.8,6.8,6.76,12.7,12.7,12.686,12.0,12.0,12.032,71.7,64.7,0.8
Rice,1.3,0.884,0.89,4.8,4.8,4.756,5.6,5.6,5.615,17.2,17.2,17.194,12.6,12.6,12.584,62.7,62.0,3.1
Rutgers,1.2,1.411,0.932,6.3,6.6,6.408,6.0,5.9,5.977,12.7,13.3,12.911,12.4,12.2,12.32,68.0,58.8,2.1
S Alabama,0.8,1.178,1.036,5.9,5.9,5.925,7.0,7.0,7.039,13.0,13.0,12.989,13.3,13.3,13.265,76.0,49.0,2.5
S Florida,0.9,1.587,0.625,6.6,6.6,6.56,5.6,5.6,5.588,11.0,11.0,10.954,21.8,21.8,21.792,59.0,65.0,2.2
Sam Houston,1.0,1.514,0.573,6.4,6.4,6.401,4.3,4.3,4.324,13.9,13.9,13.924,18.2,18.2,18.216,70.3,66.0,2.5
San Diego St,1.6,1.146,0.701,4.9,4.9,4.946,5.2,5.2,5.246,12.8,12.8,12.754,15.7,15.7,15.739,65.3,74.0,1.6
San Jose St,0.0,1.0,1.0,5.8,5.8,5.8,5.8,5.8,5.8,14.5,14.5,14.5,14.5,14.5,14.5,68.0,68.0,2.5
SMU,1.4,1.329,0.757,8.2,8.2,8.162,5.3,5.3,5.338,14.5,14.5,14.535,13.4,13.4,13.381,67.7,62.7,3.7
South Carolina,1.1,1.532,0.581,7.3,7.3,7.302,4.5,4.5,4.465,11.7,11.7,11.705,15.4,15.4,15.358,72.7,57.3,2.6
Southern Miss,1.3,1.036,0.986,5.1,5.1,5.139,5.7,5.7,5.749,14.7,14.7,14.682,13.0,13.0,13.027,73.3,71.0,2.4
Stanford,1.2,0.763,1.175,5.2,5.2,5.163,6.4,6.4,6.388,20.0,20.0,20.032,12.7,12.7,12.657,64.7,70.7,1.3
Syracuse,1.1,1.444,0.6,5.6,5.6,5.563,4.3,4.3,4.311,13.4,13.4,13.363,15.2,15.2,15.216,77.7,60.0,2.9
TCU,0.9,1.459,0.366,6.9,6.9,6.879,4.8,4.8,4.815,13.8,13.8,13.758,27.2,27.2,27.229,69.3,54.7,1.9
Temple,1.5,1.247,0.82,6.5,6.6,6.537,5.9,6.3,6.051,13.9,14.2,14.008,13.9,14.8,14.228,60.0,65.2,3.5
Tennessee,0.9,1.862,0.528,7.4,7.4,7.35,4.5,4.5,4.457,10.6,10.6,10.64,20.5,20.5,20.481,69.0,64.3,2.5
